Aviso,Fecha de aviso,Descripción,Orden,Grupo planif.,Clase de aviso,Status sistema,Fecha de cierre,Ce.emplazam.,Descripción,Duración parada
100003586,09/08/2025,cambio de empaques nevera porciparrilla,,P42,MC,METR,,C330,Nevera vertical refrigeracion N°01,0
100003587,09/08/2025,cambio de cortinas cavas cong y refri,,P42,MC,MECE,05/09/2025,C330,,0
100003588,09/08/2025,instalacion de turnero,,P43,MC,METR,,C330,,0
100003589,09/08/2025,cambio de iluminacion de pasillo clietes,,P41,MC,MECE,13/08/2025,C330,,0
100003590,09/08/2025,cambio ojos de wey pergola,,P41,MC,MECE,13/08/2025,C330,,0
100003591,09/08/2025,cambio de bateria sanitaria,,P43,MC,METR,,C330,,0
100003596,09/08/2025,instalacion de rejilla,,P43,MC,METR,,C330,,0
100003597,09/08/2025,Vitrina sin temperatura,,P42,MC,MECE,13/08/2025,C120,Vitrina refrigeracion N°01,0
100003598,09/08/2025,Temperatura alta en vitrina,60002566,P42,MC,MECE ORAS,05/09/2025,C200,Vitrina refrigeracion N°03,0
100003599,10/08/2025,VITRINA CONGELACION,60002613,P42,MC,MECE ORAS,13/08/2025,C150,Vitrina congelacion N°03,3
100003601,10/08/2025,Cambio de llave posuelo,,P43,MC,MEAB,,C390,,0
100003602,10/08/2025,cambio llave lavamanos clientes parrilla,,P43,MC,MEAB,,C390,,0
100003603,10/08/2025,tubo procesos reventado,,P43,MC,MEAB,,C390,,0
100003604,10/08/2025,Luces de vitrina #1,60002614,P42,MC,MECE ORAS,13/08/2025,C210,Vitrina refrigeracion N°01,0
100003623,11/08/2025,Sierra no enciende,60002608,P41,MC,MECE ORAS,14/08/2025,C110,Sierra sin fin,0
100003625,11/08/2025,Camara bello,,P91,MC,MEAB,,C220,CAM PV-BEL-Bascula,0
100003639,11/08/2025,Cambios de repuestos - Balanza N°1,60002549,P44,MC,MECE ORAS,13/08/2025,C160,Balanza colgante N°01,0
100003641,11/08/2025,Cambios de repuestos - Balanza N°3,60002550,P44,MC,MECE ORAS,13/08/2025,C160,Balanza colgante N°03,0
100003642,11/08/2025,Cambios de repuestos - Balanza N°4,60002551,P44,MC,MECE ORAS,13/08/2025,C160,Balanza colgante N°04,0
100003643,11/08/2025,Cambios de repuestos - Balanza N°6,60002552,P44,MC,MECE ORAS,13/08/2025,C160,Balanza colgante N°06,0
100003644,11/08/2025,Cambios de repuestos - Balanza N°8,60002553,P44,MC,MECE ORAS,13/08/2025,C160,Balanza colgante N°08,0
100003645,11/08/2025,Cambios de repuestos - Balanza N°10,60002554,P44,MC,MECE ORAS,13/08/2025,C160,Balanza colgante N°10,0
100003666,11/08/2025,Reparación de pisos,60002635,P43,MC,METR ORAS,,A400,,0
100003667,11/08/2025,Reparación de baño,60002636,P43,MC,METR ORAS,,A400,,0
100003668,12/08/2025,Vitrina de refrigeracion apagada,60002612,P42,MC,MECE ORAS,13/08/2025,C110,Vitrina refrigeracion N°01,0
100003670,12/08/2025,mantenimiento cava de refrigerracion,60002615,P42,MC,MECE ORAS,13/08/2025,C160,Evaporador cava congelacion N°01,0
100003672,12/08/2025,Arreglo de llave de la poseta,60002714,P43,MC,MECE ORAS,20/08/2025,C160,,0
100003673,12/08/2025,Cambio cubo cruz tecnica,60002930,P43,MC,MECE ORAS,28/08/2025,C160,,0
100003674,12/08/2025,reparacion balanzas,,P44,MC,MECE,12/08/2025,C160,Balanza colgante N°02,0
100003680,12/08/2025,ensaladera no esta enfriando,60002744,P42,MC,MECE ORAS,05/09/2025,C330,Nevera horizontal N°01,0
100003684,12/08/2025,Arreglo tajadora,60002575,P41,MC,MECE ORAS,13/08/2025,C150,Tajadora,0
100003695,12/08/2025,Cambio de ventilador cava,60002588,P42,MC,MECE ORAS,02/09/2025,C270,Evaporador cava congelacion N°01,0
100003697,12/08/2025,oxido en el molino,60002750,P41,MC,MECE ORAS,02/09/2025,C140,Molino,0
100003699,12/08/2025,cambio rejilla baño,60002677,P43,MC,METR ORAS,,C140,,0
100003702,12/08/2025,cambio empaque de cava,,P42,MC,MEAB,,C140,,0
100003706,12/08/2025,cortinas enrrollables,,P43,MC,METR,,C140,,0
100003709,12/08/2025,cajon de herramientas,,P43,MC,METR,,C140,,0
100003710,12/08/2025,deterioro esquina vitrina,,P42,MC,MECE,03/09/2025,C140,Vitrina refrigeracion N°02,0
100003720,13/08/2025,Molino no prende,60002637,P41,MC,MECE ORAS,14/08/2025,C190,Molino,0
100003722,13/08/2025,Pozuelo empleados,,P43,MC,MEAB,,C240,,0
100003728,13/08/2025,Cambio siliconas sala procesos,60002946,P43,MC,METR ORAS,,C240,,0
100003730,13/08/2025,Tubería con oxidación,,P43,MC,MEAB,,C240,,0
100003731,13/08/2025,Moho verde vitrinas laterales,,P42,MC,MECE,05/09/2025,C240,Vitrina refrigeracion N°02,0
100003732,13/08/2025,Muros agrietados,60002948,P43,MC,METR ORAS,,C240,,0
100003733,13/08/2025,Sellar tomacorrientes y Puerta de parril,,P41,MC,MECE,27/08/2025,C240,,0
100003734,13/08/2025,Puerta parqueadero,60002947,P43,MC,METR ORAS,,C240,,0
100003735,13/08/2025,Vitrina congelación,,P42,MC,MECE,05/09/2025,C240,Vitrina congelacion N°01,0
100003737,13/08/2025,Cuarto de maquinas,,P41,MC,MECE,19/08/2025,C240,,0
100003738,13/08/2025,Inodoro empleados,,P43,MC,MEAB,,C240,,0
100003739,13/08/2025,Oxidacion puerta procesos,60002949,P43,MC,METR ORAS,,C240,,0
100003740,13/08/2025,Tubo difusor cava congelacion,,P42,MC,MECE,05/09/2025,C240,Evaporador cava congelacion N°01,0
100003745,13/08/2025,Olor a quemado,60002642,P42,MC,MECE ORAS,14/08/2025,C200,Vitrina refrigeracion N°03,5
100003747,13/08/2025,temperatura  de cava alta,60002641,P42,MC,MECE ORAS,05/09/2025,C160,Evaporador cava congelacion N°01,0
100003762,13/08/2025,Vtrina congelación,60002650,P42,MC,MECE ORAS,09/09/2025,C240,Vitrina congelacion N°01,0
100003765,13/08/2025,Ruido en los motores de cavas,60003180,P42,MC,MECE ORAS,05/09/2025,C200,Evaporador cava refrigeracion N°01,0
100003769,13/08/2025,Temperatura Cava Congelacion,60002643,P42,MC,MECE ORAS,26/08/2025,C230,Evaporador cava congelacion N°01,0
100003770,13/08/2025,lavadora del apartamento mala,,P43,MC,MECE,14/08/2025,C250,,0
100003774,13/08/2025,FRENADO EN SIERRA,60002651,P41,MC,MECE ORAS,15/08/2025,C210,Sierra sin fin,0
100003775,13/08/2025,TAPONAMIENTO DESAGUE VITRINA,,P42,MC,MECE,05/09/2025,C210,Vitrina refrigeracion N°02,0
100003779,14/08/2025,Limpieza de ventiladores,60002917,P43,MC,MECE ORAS,27/08/2025,C200,,0
100003780,14/08/2025,Basculas 8 No imprime,60002631,P44,MC,MECE ORAS,18/08/2025,C230,Balanza colgante N°08,0
100003786,14/08/2025,Bascula 9 No imprimen,60002632,P44,MC,MECE ORAS,20/08/2025,C230,Balanza colgante N°09,0
100003787,14/08/2025,Bascula 11 No imprime,60002633,P44,MC,MECE ORAS,19/08/2025,C230,Balanza colgante N°11,0
100003788,14/08/2025,ESPEJO BAÑOS PARRILLA,60002676,P43,MC,MECE ORAS,27/08/2025,C310,,0
100003797,14/08/2025,VITRINA REFERIGERACION PARRILLA,60003181,P42,MC,MECE ORAS,05/09/2025,C570,Nevera domestica N°01,0
100003805,15/08/2025,Bascula master,60002708,P44,MC,MECE ORAS,15/08/2025,C210,Balanza colgante N°01,0
100003808,15/08/2025,SUCIEZA EN PISOS ENTRADA PARRILLA,60002705,P43,MC,MECE ORAS,27/08/2025,C310,,0
100003812,15/08/2025,Bsculas master no lee tecla 8,60002761,P44,MC,MECE ORAS,25/08/2025,C190,Balanza colgante N°01,0
100003815,15/08/2025,MATERIALES PARA LLAVES SALA PROCESOS,60002752,P43,MC,MECE ORAS,27/08/2025,C400,,0
100003820,15/08/2025,MATERIALES ARREGLO LLAVE CUARTO ASEO,60002770,P43,MC,MECE ORAS,27/08/2025,C400,,0
100003825,15/08/2025,Cambio de Lamparas,60002743,P41,MC,MECE ORAS,21/08/2025,C220,,0
100003830,16/08/2025,Lampara intermitente,60002768,P41,MC,MECE ORAS,08/09/2025,C110,,0
100003839,16/08/2025,ventilador de cava de congelacion parado,60002779,P42,MC,MECE ORAS,20/08/2025,C210,Evaporador cava congelacion N°01,0
100003840,17/08/2025,pintar bases metalicas de zona lockers,60002929,P43,MC,MECE ORAS,28/08/2025,C170,,0
100003841,17/08/2025,Cielo razo desprendiendose sala clientes,60002864,P43,MC,METR ORAS,,C260,,0
100003842,17/08/2025,ESTUFA DE PARRILLA SIN PASO DE GAS,,P41,MC,MECE,19/08/2025,C170,,0
100003843,17/08/2025,daño en el capacitor de la cierra,60002772,P41,MC,MECE ORAS,26/08/2025,C300,Sierra sin fin,0
100003845,17/08/2025,Bascula repeso con desnivel,,,,,,,,
100003852,18/08/2025,SIERRA ESTA PASANDO CORRIENTE,60002765,P41,MC,MECE ORAS,21/08/2025,C170,Sierra sin fin,0
100003854,18/08/2025,cava refrigeracion,60002907,P42,MC,MECE ORAS,05/09/2025,C290,Evaporador cava refrigeracion N°01,0
100003855,18/08/2025,cava refrigeracion,60002912,P42,MC,MECE ORAS,05/09/2025,C290,Evaporador cava refrigeracion N°02,0
100003856,18/08/2025,Refrigeracion mesa,60002778,P42,MC,MECE ORAS,05/09/2025,C340,Nevera horizontal N°01,0
100003860,18/08/2025,SIERRA SIN FIN,60002766,P41,MC,MECE ORAS,21/08/2025,C210,Sierra sin fin,0
100003864,19/08/2025,lampara de vitrina de charcuteria,60002757,P42,MC,MECE ORAS,05/09/2025,C220,Vitrina refrigeracion N°01,0
100003866,19/08/2025,vitrina1,60002762,P42,MC,MECE ORAS,20/08/2025,C140,Vitrina refrigeracion N°01,0
100003867,19/08/2025,vitrina 3,60003089,P42,MC,MECE ORAS,03/09/2025,C140,Vitrina refrigeracion N°03,0
100003868,19/08/2025,FREIDORA,60002749,P41,MC,MECE ORAS,26/08/2025,C150,,0
100003870,19/08/2025,Puerta sala de procesos sin bisagras,,P43,MC,METR,,C110,,0
100003871,19/08/2025,lampara cava de refrigeracion caida,,P42,MC,MECE,05/09/2025,C210,,0
100003875,19/08/2025,Reparar puerta corrediza ofic directores,60002914,P43,MC,MECE ORAS,27/08/2025,A280,,0
100003880,19/08/2025,Olor fuerte vitrina congelacion,60002760,P42,MC,MECE ORAS,20/08/2025,C220,Vitrina congelacion N°01,0
100003898,19/08/2025,Pozuelo de parrilla taqueado,60002764,P43,MC,MECE ORAS,20/08/2025,C180,,0
100003904,20/08/2025,cava de refrigeracion,60003086,P42,MC,MECE ORAS,05/09/2025,C140,Evaporador cava refrigeracion N°01,0
100003905,20/08/2025,Balanza,,P43,MC,MECE,20/08/2025,C210,,0
100003906,20/08/2025,CAVA CONGELACION,60002825,P42,MC,MECE ORAS,22/08/2025,C150,Evaporador cava congelacion N°01,0
100003907,20/08/2025,NVR_caldas,,P91,MC,MEAB,,C140,NVR PV-CAL RACK-16 CH,0
100003911,20/08/2025,Malacate no sube completamente,60002881,P41,MC,MECE ORAS,27/08/2025,C170,Malacate,0
100003918,20/08/2025,BASCULA DE PISO MAL EQUILIBRADA,60002934,P44,MC,MECE ORAS,02/09/2025,C300,Bascula plataforma,0
100003925,20/08/2025,Puerta de nevera averiada,60003182,P42,MC,MECE ORAS,05/09/2025,C120,Nevera domestica N°01,0
100003928,20/08/2025,ventilador de cava de congelacion parado,60002880,P42,MC,MECE ORAS,05/09/2025,C210,Evaporador cava refrigeracion N°01,0
100003929,20/08/2025,CERRADURA DE PUERTA DE ENTRADA DAÑADA,,P43,MC,MEAB,,C270,,0
100003931,21/08/2025,sierra con rodamientos dañados,60002827,P41,MC,MECE ORAS,26/08/2025,C290,Sierra sin fin,0
100003944,21/08/2025,ARREGLO CONTROL CAVA CONGELACION,60002824,P42,MC,MECE ORAS,26/08/2025,C340,Controlador cava congelacion N°01,0
100003956,21/08/2025,sierra sin fin,60002828,P41,MC,MECE ORAS,26/08/2025,C140,Sierra sin fin,0
100003982,22/08/2025,NO ENCIENDE CAVA DE CONGELACION,,P42,MC,MECE,05/09/2025,C300,Evaporador cava congelacion N°01,0
100003990,22/08/2025,CHAPA PUERTA PRINCIPAL AVERIADA,60002829,P43,MC,MECE ORAS,22/08/2025,C340,,0
100003993,22/08/2025,Vitrina apagada,60003177,P42,MC,MECE ORAS,05/09/2025,C120,Vitrina refrigeracion N°02,0
100003994,22/08/2025,RETIRO LAVA MANOS SALA PRIMEROS AUX GTH,60002909,P43,MC,MECE ORAS,09/09/2025,A300,,0
100003995,22/08/2025,AJUSTE DE BARANDA ESCALERA EDIFICIO ADM,60002846,P43,MC,MECE ORAS,03/09/2025,A290,,0
100003996,22/08/2025,REPARACION TECHO OFICINA SST,60002891,P43,MC,METR ORAS,,A300,,0
100003997,22/08/2025,Dotación_Almacen 2 -Porciparrilla,,P91,MC,MEAB,,A330,CAM PAR-PARA Dotación_Almacen #2,0
100003998,22/08/2025,Dorada_Mostrador 2-PV La dorada,,P91,MC,MEAB,,C330,CAM PV-LDOR_Mostrador 2,0
100003999,22/08/2025,Castellana - Zona proceso interno.,,P91,MC,MEAB,,C170,CAM PV-LCAS_Zona Proceso interna,0
100004003,23/08/2025,bascula colgante,60002851,P44,MC,MECE ORAS,25/08/2025,C140,Balanza colgante N°02,0
100004004,23/08/2025,FUGA DE LAVA MANOS AUDITORIO,60002884,P43,MC,MECE ORAS,27/08/2025,A400,,0
100004029,23/08/2025,cerradura puerta principal de ingreso,60002939,P43,MC,METR ORAS,,C300,,0
100004034,23/08/2025,ACOPLES MANGUERA,,P43,MC,MECE,26/08/2025,C210,,0
100004037,23/08/2025,cambio de gato puerta 3,,P43,MC,MEAB,,C300,,0
100004048,23/08/2025,ACOPLES MANGUERAS,60002860,P43,MC,MECE ORAS,26/08/2025,C210,,0
100004049,23/08/2025,Bascula repeso con desnivel,,,,,,,,
100004050,24/08/2025,llave de poceta primer piso con fuga,60002877,P43,MC,MECE ORAS,26/08/2025,C170,,0
100004051,24/08/2025,cava de refrigeracion con mucho hielo,60003183,P42,MC,MECE ORAS,05/09/2025,C170,Evaporador cava refrigeracion N°01,0
100004056,25/08/2025,POZUELO SALA DE PROCESOS,60002865,P43,MC,MECE ORAS,26/08/2025,C150,,0
100004057,25/08/2025,SOPORTE DE BOLSAS,60002863,P43,MC,MECE ORAS,26/08/2025,C150,,0
100004061,25/08/2025,Daño de vitrina,,P42,MC,MECE,05/09/2025,C300,Vitrina congelacion N°01,0
100004062,25/08/2025,Pulir punto ecologico PV PLAZA FLOREZ,60002862,P43,MC,MECE ORAS,25/08/2025,C180,,0
100004065,25/08/2025,vitrinas,,P42,MC,MECE,05/09/2025,C320,Vitrina refrigeracion N°02,0
100004066,25/08/2025,Manguera de parrilla con fuga,60002878,P41,MC,MECE ORAS,27/08/2025,C120,,0
100004068,25/08/2025,DAÑO DISPENSADORES DE JABON,60002861,P43,MC,MECE ORAS,26/08/2025,C310,,0
100004069,25/08/2025,AMBIO DE CABLE UTP BASCULA 1,60002870,P44,MC,MECE ORAS,26/08/2025,C210,Bascula plataforma,0
100004070,25/08/2025,CAMBIO DE CABLE UTP BASCULA 2,60002871,P44,MC,MECE ORAS,26/08/2025,C210,Bascula plataforma,0
100004071,25/08/2025,estufa no enciende los quemadores,,P41,MC,MECE,27/08/2025,C570,Electrodomesticos menores,0
100004075,25/08/2025,CAMBIO DE CABLE UTP BASCULA 3,60002872,P44,MC,MECE ORAS,26/08/2025,C210,Bascula plataforma,0
100004076,25/08/2025,CAMBIO DE CABLE UTP BASCULA 4,60002873,P44,MC,MECE ORAS,26/08/2025,C210,Bascula plataforma,0
100004077,25/08/2025,MANTENIMINETO RODAMIENTO SIERRA,,P41,MC,MECE,26/08/2025,C310,Sierra sin fin,0
100004078,25/08/2025,CAMBIO DE CABLE UTP BASCULA 5,60002874,P44,MC,MECE ORAS,26/08/2025,C210,Bascula plataforma,0
100004085,25/08/2025,CORTO VITRINA CONGELACION,60002898,P42,MC,MECE ORAS,05/09/2025,C170,Vitrina congelacion N°01,0
100004120,26/08/2025,Mantenimiento Compresor Lubricenter,60003017,P41,MC,METR ORAS,,A400,,0
100004122,26/08/2025,Sierra fuerra de servicio,60002957,P41,MC,MECE ORAS,01/09/2025,C340,Motor sierra,0
100004143,26/08/2025,RUIDO REJILLA BAÑO HOMBRES,,P41,MC,MEAB,,C460,,0
100004156,27/08/2025,Arreglo cava refrigeracion,60003184,P42,MC,MECE ORAS,05/09/2025,C380,Evaporador cava refrigeracion N°01,0
100004157,27/08/2025,Sierra tiene un Ruido feo y una vibracio,60002915,P41,MC,MECE ORAS,29/08/2025,C190,Sierra sin fin,0
100004166,27/08/2025,AVERIA NEVERA SERVICARROS,60002910,P42,MC,MECE ORAS,28/08/2025,A400,Nevera vertical refrigeracion N°01,0
100004170,27/08/2025,Rejas punto de venta,,P43,MC,METR,,C230,,0
100004173,27/08/2025,Molino,,P41,MC,MECE,29/08/2025,C240,Molino,0
100004174,27/08/2025,Revision vidrios laterales vitrinas,,P42,MC,METR,,C230,Vitrina refrigeracion N°01,0
100004185,27/08/2025,POLEA O RUEDA SUPERIOR DE SIERRA MALA,,P41,MC,MECE,29/08/2025,C170,Sierra sin fin,0
100004203,28/08/2025,FUSIL AIRE PV,,P42,MC,MECE,08/09/2025,C320,Aire acondicionado central,0
100004207,28/08/2025,Daño en baño de gestion documental ofici,,P43,MC,MEAB,,A330,,0
100004209,28/08/2025,TEMPERATURA ALTA VITRINA REFRIGERACION,60003185,P42,MC,MECE ORAS,05/09/2025,C220,Vitrina refrigeracion N°02,0
100004213,28/08/2025,cerradura dañada,60003058,P43,MC,METR ORAS,,A190,,0
100004214,28/08/2025,cambio de tuberia procesos,60003062,P43,MC,MECE ORAS,09/09/2025,C290,,0
100004215,28/08/2025,COMPRA DE CANDADO CAJA CONTADOR ENERGIA,,P41,MC,MECE,29/08/2025,C400,,0
100004217,28/08/2025,Lavamanos Empleados,,P43,MC,MEAB,,C240,,0
100004220,28/08/2025,acrilico cruz tecnica,,P43,MC,MECE,30/08/2025,C100,,0
100004221,28/08/2025,ventilador de vitrina cable conector,60003202,P42,MC,METR ORAS,,C100,Vitrina refrigeracion N°03,0
100004222,28/08/2025,polea de sierra sin fin,60003013,P41,MC,MECE ORAS,01/09/2025,C100,Sierra sin fin,0
100004223,28/08/2025,baldosin,,P43,MC,METR,,C100,,0
100004224,28/08/2025,Obstruccion de tuberia sanitaria,60002940,P43,MC,MECE ORAS,09/09/2025,A280,,0
100004227,28/08/2025,Cajon de Herramientas con Oxidacion,,P43,MC,MEAB,,C110,,0
100004228,28/08/2025,Ojos de buey apagados,60002950,P41,MC,MECE ORAS,08/09/2025,C110,,0
100004230,30/07/2025,Prestamo personal obra turbaco,60002945,P41,MC,MECE ORAS,01/09/2025,A400,,0
100004240,29/08/2025,Bascula no enciende,60002952,P44,MC,MECE ORAS,29/08/2025,C120,Balanza colgante N°05,0
100004247,29/08/2025,Prestamo personal obra Mayorista,60002955,P43,MC,METR ORAS,,C440,,0
100004249,29/08/2025,reparacion con soldadura para silla pv,,P43,MC,MEAB,,C300,,0
100004250,29/08/2025,pueta de la cierra sele daño el pin,60003014,P41,MC,MECE ORAS,02/09/2025,C300,Sierra sin fin,0
100004251,29/08/2025,mantenimiento cortinas enrollables pv,,P43,MC,MEAB,,C300,,0
100004257,29/08/2025,FILTROS DE CAMPANA,,P41,MC,MEAB,,C460,Campana extractora,0
100004267,29/08/2025,DAÑO EN VITRINA #1,60003269,P42,MC,METR ORAS,,C310,Vitrina congelacion N°02,0
100004273,30/08/2025,bombilla de sala proceso,60003015,P41,MC,MECE ORAS,02/09/2025,C140,,0
100004282,30/08/2025,Revision Electrica,60002987,P41,MC,MECE ORAS,01/09/2025,C240,,0
100004286,30/08/2025,Turnero malo,,P41,MC,METR,,C250,Electrodomesticos menores,0
100004293,30/08/2025,arreglo de aire,60002995,P42,MC,MECE ORAS,04/09/2025,C320,Aire acondicionado central,0
100004302,01/09/2025,toma criente,60003016,P41,MC,MECE ORAS,09/09/2025,C100,,0
100004303,01/09/2025,Sierra la hoja esta chocando con la guia,,P41,MC,MECE,04/09/2025,C190,Sierra sin fin,0
100004306,01/09/2025,la hoja de la sierra choca con la guia,60003066,P41,MC,MECE ORAS,02/09/2025,C190,Sierra sin fin,0
100004324,01/09/2025,cambio de suiche,60003072,P41,MC,MECE ORAS,08/09/2025,C320,,0
100004326,01/09/2025,cambio de jaboneras,60003248,P43,MC,MECE ORAS,09/09/2025,C410,,0
100004335,02/09/2025,DAÑO REJA ENRROLLABLES,,P43,MC,MEAB,,C310,,0
100004336,02/09/2025,vitrina numero 2,60003085,P42,MC,MECE ORAS,03/09/2025,C140,Vitrina refrigeracion N°02,2
100004339,02/09/2025,Ducha Apartamento,60003064,P41,MC,MECE ORAS,08/09/2025,A140,,0
100004341,02/09/2025,Arreglo puerta Apartamento,60003074,P43,MC,MECE ORAS,03/09/2025,C230,,0
100004351,02/09/2025,PV Palmira_Palmi_Caja1,,P91,MC,MEAB,,C390,CAM PV-PALM_Caja1,0
100004352,02/09/2025,Turneros e Iluminacion malos,60003076,P41,MC,MECE ORAS,08/09/2025,C200,Electrodomesticos menores,0
100004364,02/09/2025,se daña regulador de gas de parilla,60003101,P41,MC,MECE ORAS,08/09/2025,C120,Plancha N°01,0
100004371,03/09/2025,Piso con mucha agua,,P43,MC,MEAB,,C280,,0
100004373,03/09/2025,Limpieza Terraza pv,60003228,P43,MC,MECE ORAS,09/09/2025,C220,,0
100004374,03/09/2025,Limpieza Ventiladores,60003229,P41,MC,MECE ORAS,09/09/2025,C220,Electrodomesticos menores,0
100004375,03/09/2025,Lamparas PV,60003102,P41,MC,MECE ORAS,08/09/2025,C240,,0
100004380,03/09/2025,Prestamo personal a Ingenieria,60003106,P41,MC,METR ORAS,,A400,,0
100004387,03/09/2025,COLUMNA SUPERBOARD,60003230,P43,MC,METR ORAS,,C210,,0
100004390,03/09/2025,boton de encendido de molino malo,60003139,P41,MC,MECE ORAS,04/09/2025,C170,Molino,0
100004399,04/09/2025,cambio sifon apartamento,60003127,P43,MC,MECE ORAS,09/09/2025,A190,,0
100004418,04/09/2025,Suspension electrica,60003133,P41,MC,METR ORAS,,C200,,0
100004419,04/09/2025,baños votan agua por la tasa,,P43,MC,MECE,08/09/2025,C460,,0
100004420,04/09/2025,Poco fluido agua potable,,P43,MC,MEAB,,C300,,0
100004427,04/09/2025,PUERTA SALA DE PROCESOS,60003138,P43,MC,METR ORAS,,C320,,0
100004432,04/09/2025,Compresor dañado,60003163,P42,MC,METR ORAS,,C200,Vitrina refrigeracion N°03,0
100004441,05/09/2025,lampara sala de procesos quemada,,P41,MC,MEAB,,C290,,0
100004442,05/09/2025,Revision aire acondicionado,60003201,P42,MC,MECE ORAS,08/09/2025,A280,Aire acondicionado msplit - casette N°02,0
100004446,05/09/2025,REPARACION MESA CARNES,,P42,MC,METR,,C340,Vitrina refrigeracion N°04,0
100004449,05/09/2025,Conectar empacadora al vacio,60003197,P41,MC,MECE ORAS,08/09/2025,C120,,0
100004459,05/09/2025,PINTURA OFICINAS GTH,60003231,P43,MC,MECE ORAS,09/09/2025,A300,,0
100004460,05/09/2025,Revision de olores baños financiera,,P43,MC,MEAB,,A290,,0
100004461,05/09/2025,Camara PV Soledad Caida,,P91,MC,MEAB,,C320,CAM PV-SOLE_Mostrador 1,0
100004462,05/09/2025,Camara PV Envigado - Parrilla,,P91,MC,MEAB,,C160,CAM PV-ENV_Bascula,0
100004463,05/09/2025,Cama PV Sincelejo - Intermitencia,,P91,MC,MEAB,,C290,CAM PV-SIN_Bascula,0
100004464,05/09/2025,CAMARA PV LA DORADA,,P91,MC,MEAB,,C330,CAM PV-LDOR_Bascula,0
100004465,05/09/2025,Camara PV Tulua,,P91,MC,MEAB,,C380,CAM PV-TUL_Bascula,0
100004466,05/09/2025,CAMARA PV CEJA Zona_lCliente,,P91,MC,MEAB,,C240,CAM PV-CEJA_Bascula Piso,0
100004467,05/09/2025,Camaras Edificio Prado,,P91,MC,MEAB,,A280,CAM OFI Adm_Acceso Principal,0
100004468,05/09/2025,camara PV Aparta Parrilla,,P91,MC,MEAB,,C250,CAM PV-APTD-Parrilla,0
100004473,06/09/2025,SIERRA ELECTRICA,60003198,P41,MC,MECE ORAS,08/09/2025,C170,Sierra sin fin,0
100004475,06/09/2025,Reparacion bisagra  puerta principal,60003210,P43,MC,MECE ORAS,08/09/2025,C300,,0
100004477,06/09/2025,Bascula de piso se daño,60003195,P44,MC,METR ORAS,,C190,Bascula plataforma,0
100004480,07/09/2025,daño en cava de congelacion,,P42,MC,MEAB,,C300,Evaporador cava congelacion N°01,0
100004492,08/09/2025,sierra sinfin mal estado,60003224,P41,MC,METR ORAS,,C210,Sierra sin fin,0
100004496,08/09/2025,VITRINA CONGELACION # 2,60003205,P42,MC,METR ORAS,,C470,Vitrina congelacion N°02,0
100004497,08/09/2025,VITRINA CONGELACION # 1,60003206,P42,MC,METR ORAS,,C470,Vitrina congelacion N°01,0
100004499,08/09/2025,Fuga de agua en tuberia de cuarto emplea,60003207,P43,MC,METR ORAS,,C210,,0
100004500,08/09/2025,freidora no enciende,60003204,P41,MC,METR ORAS,,C410,Freidora a gas N°01,0
100004504,08/09/2025,revision de neveras,,P42,MC,MEAB,,C410,Nevera vertical refrigeracion N°01,0
100004505,08/09/2025,DAÑO CANAL PERGOLA PARRILLA,60003246,P43,MC,METR ORAS,,C310,,0
100004506,08/09/2025,Toberia taqueada,,P42,MC,MECE,09/09/2025,C200,,0
100004507,08/09/2025,LLAVE DE AGUA DEL CUARTO DE ASEO,60003260,P43,MC,MECE ORAS,10/09/2025,C310,,0
100004508,08/09/2025,CAMBIO CANCAMOS PARA COLGAR TABLAS,60003261,P43,MC,METR ORAS,,C310,,0
100004512,08/09/2025,sierra dañada,,P41,MC,MEAB,,C290,Sierra sin fin,0
100004514,08/09/2025,Luces dañadas comedor personal,,P41,MC,MEAB,,C260,,0
100004515,08/09/2025,Luces pergola dañada,,P41,MC,MEAB,,C260,,0
100004516,08/09/2025,Cava de congelacion votando agua,,P42,MC,MEAB,,C260,Evaporador cava congelacion N°01,0
100004517,08/09/2025,Luz vitrina carnes dañada,,P42,MC,MEAB,,C260,Vitrina refrigeracion N°02,0
100004518,08/09/2025,Cambio de ubicacion caja fuerte,,P41,MC,MEAB,,C260,Electrodomesticos menores,0
100004519,08/09/2025,Llantas de carros de canastas dañados,,P43,MC,MEAB,,C260,,0
100004520,08/09/2025,Arreglo de malla puerta de patio,,P43,MC,MEAB,,C260,,0
100004522,08/09/2025,arreglo cielo razo sala de clientes,,P43,MC,MEAB,,C260,,0
100004524,08/09/2025,Arreglo pasadores del porton del garaje,,P43,MC,MEAB,,C260,,0
100004525,08/09/2025,Arreglo de pantalla de la bascula master,,P44,MC,MEAB,,C260,Balanza colgante N°06,0
100004527,08/09/2025,Cielo razo apartamento con humedad,,P43,MC,MEAB,,A160,,0
100004529,08/09/2025,VITRINA NO ENCIENDE,60003225,P42,MC,METR ORAS,,C170,Vitrina refrigeracion N°02,0
100004531,08/09/2025,solicitud cambio de la estructura bascu,,P44,MC,MEAB,,C280,Bascula plataforma,0
100004532,08/09/2025,manija de tapa de freidora safada,,P41,MC,MEAB,,C280,Freidora electrica N°02,0
100004541,08/09/2025,MANTENIMIENTO SIERRA,,P41,MC,METR,,C170,Sierra sin fin,0
100004548,09/09/2025,ESTUFA PARRILLA FUERA DE SERVICIO,,P41,MC,METR,,C340,Fogon a gas N°01,0
